,사업장명,업태구분명,지번주소,좌표정보(X),좌표정보(Y),네이버_별점,방문자리뷰수,블로그리뷰수,대표메뉴_메뉴,대표메뉴_가격,음식이 맛있어요_비율,혼밥하기 좋아요_비율,재료가 신선해요_비율,특별한 메뉴가 있어요_비율,친절해요_비율,양이 많아요_비율,매장이 청결해요_비율,가성비가 좋아요_비율,인테리어가 멋져요_비율,건강한 맛이에요_비율,아늑해요_비율,메뉴 구성이 알차요_비율,차분한 분위기예요_비율,매장이 넓어요_비율,뷰가 좋아요_비율,음악이 좋아요_비율,특별한 날 가기 좋아요_비율,비싼 만큼 가치있어요_비율,단체모임 하기 좋아요_비율,화장실이 깨끗해요_비율,반찬이 잘 나와요_비율,주차하기 편해요_비율,대화하기 좋아요_비율,컨셉이 독특해요_비율,음식이 빨리 나와요_비율,좌석이 편해요_비율,사진이 잘 나와요_비율,집중하기 좋아요_비율,혼술하기 좋아요_비율,잡내가 적어요_비율,야외공간이 멋져요_비율,기본 안주가 좋아요_비율,향신료가 강하지 않아요_비율,환기가 잘 돼요_비율,술이 다양해요_비율,고기 질이 좋아요_비율,음료가 맛있어요_비율,직접 잘 구워줘요_비율,현지 맛에 가까워요_비율,오래 머무르기 좋아요_비율,디저트가 맛있어요_비율,라이브공연이 훌륭해요_비율,코스요리가 알차요_비율,커피가 맛있어요_비율,빵이 맛있어요_비율,종류가 다양해요_비율,차가 맛있어요_비율,선물하기 좋아요_비율,주문제작을 잘해줘요_비율,포장이 깔끔해요_비율,반려동물과 가기 좋아요_비율,샐러드바가 잘 되어있어요_비율,아이와 가기 좋아요_비율,파티하기 좋아요_비율,룸이 잘 되어있어요_비율,깨끗해요_비율,조용히 쉬기 좋아요_비율,침구가 좋아요_비율,냉난방이 잘돼요_비율,화장실이 잘 되어있어요_비율,방음이 잘돼요_비율,즐길 거리가 많아요_비율,호캉스하기 좋아요_비율,근처에 갈 곳이 많아요_비율,벌레 걱정 없어요_비율,보안시설이 잘 되어있어요_비율,바비큐 해먹기 좋아요 _비율,온수가 잘 나와요_비율,어울려 놀기 좋아요_비율,공용시설 관리가 잘돼요_비율,전기 사용이 편해요_비율,취사시설이 잘 되어있어요_비율,마트 이용이 편해요_비율,도보거리_km,도보시간_분
0,365행복한식당,한식,서울특별시 마포구 당인동 1-30,193010.1069,449121.6616,,2,0,황태국,"10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.633,8.8
1,안티플랜(ANTIPLAN),바(BAR),서울특별시 마포구 당인동 15-28 ,192860.474,449337.405,,58,47,안티오리타코 | 안티풀트포크타코 | 안티새우타코 | 하몽메론 | 브리치즈구이,"18,000 | 16,000 | 18,000 | 27,000 | 23,000",0.125,,,0.053571429,0.116071429,,0.035714286,0.017857143,0.142857143,,0.008928571,,,,,0.116071429,,,0.008928571,0.026785714,,,0.098214286,,,,,,0.053571429,,,0.026785714,,,0.133928571,,0.008928571,,,0.026785714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.768,10.2
2,프로토콜 상수점,카페,서울특별시 마포구 당인동 15-29 ,192871.5386,449343.715,,53,344,"필터커피(변동), 아메리카노 | 카페라떼","5,500 | 6,000",,,,0.027322404,0.038251366,,0.016393443,,0.158469945,0.005464481,0.043715847,,0.021857923,0.005464481,0.043715847,0.021857923,,,,,,,0.027322404,0.005464481,,0.005464481,0.06010929,0.163934426,,,,,,,,,0.049180328,,,0.005464481,0.049180328,,,0.245901639,0.005464481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762,10.2
3,쏙티,케이크전문,서울특별시 마포구 당인동 15-46 ,192890.5398,449318.8334,,44,103,주문 제작 케이크(변동) | 선물용 와인(변동), | ,0.020942408,,0.005235602,0.09947644,0.157068063,,0.109947644,0.036649215,0.094240838,0.005235602,,0.005235602,,,,0.041884817,,,,0.020942408,,,0.031413613,0.005235602,,0.005235602,0.062827225,0.005235602,0.020942408,,,,,,0.031413613,,0.005235602,,,0.010471204,0.115183246,,,0.005235602,,,,0.068062827,0.036649215,,,,,,,,,,,,,,,,,,,,,,,,,0.704,10.3
4,프로토콜 쇼룸,"카페,디저트",서울특별시 마포구 당인동 24-11 ,192839.5976,449326.4823,,659,1467,"필터커피(변동), 아메리카노 | 카페라떼","5,500 | 6,000",,,0.000529661,0.019597458,0.075741525,,0.042902542,0.005826271,0.141949153,0.001059322,0.004237288,,0.015889831,0.015360169,0.058792373,0.009004237,,0.002648305,,0.010063559,,0.001059322,0.042902542,0.004766949,,0.013771186,0.051377119,0.174258475,0.000529661,,,,,,,,0.032838983,,,0.003707627,0.037605932,,,0.230402542,0.001059322,0.001588983,0.000529661,,,,,,,,,,,,,,,,,,,,,,,,,,,0.773,11.2
5,당인식당,한정식,서울특별시 마포구 당인동 25-22번지 ,192878.8501,449264.256,,116,147,당인식당점심메뉴(15 | 000~35 | 000원) | 당인식당저녁메뉴(15 | 000~50 | 000원), |  |  |  |  | ,0.248756219,0.014925373,0.129353234,0.019900498,0.139303483,0.044776119,0.064676617,0.024875622,0.054726368,0.009950249,0.004975124,,0.044776119,0.024875622,0.019900498,,0.024875622,0.009950249,0.014925373,0.004975124,0.094527363,,,,,,,,,,,,,,,,,,,0.004975124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.751,10.9
6,틈,"스테이크,립",서울특별시 마포구 당인동 25-29 ,192897.6883,449278.5342,,921,261,와인 페어링 디너 | 시그니처 디너 | 스몰 디너 | 스트립 로인 스테이크 100g | 도멘 생그라 엘 몰리,"100,000 | 85,000 | 70,000 | 32,000 | 89,000",0.179995048,0.003961377,0.051497896,0.006189651,0.118098539,0.003713791,0.034414459,0.005446893,0.143847487,0.001485516,0.021292399,0.00123793,0.011141372,0.025748948,0.002971032,0.005942065,0.071304778,0.00123793,0.009408269,0.007675167,,,0.0106462,0.000990344,0.000495172,0.000990344,0.001980688,0.000247586,0.021292399,,0.000247586,0.000247586,,,0.06808616,0.091359247,0.000742758,0.000495172,,0.031938599,0.00247586,,0.061153751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722,10.0
7,상수 어촌,조개요리,서울특별시 마포구 당인동 25-30 ,192890.8072,449273.3747,,115,61,석화(회/찜) | 새우구이 | 조개구이(중) | 조개구이(대) | 조개구이(특대),"19,900 | 29,900 | 57,900 | 76,900 | 89,900",0.206225681,,0.171206226,0.046692607,0.149805447,0.070038911,0.044747082,0.019455253,0.081712062,0.003891051,0.011673152,0.056420233,0.007782101,0.009727626,0.001945525,0.013618677,0.009727626,,0.005836576,0.03307393,0.001945525,,0.013618677,0.003891051,,,0.005836576,,,,,0.005836576,,0.001945525,0.005836576,,,0.013618677,0.001945525,,,,0.001945525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.729,10.1
8,당인동국수공장,냉면,서울특별시 마포구 당인동 25-9번지 ,192882.1872,449279.8323,,493,493,당인동평양냉면 | 비빔평양냉면 | 들기름메밀면 | 녹두전 | 소고기수육,"13,000 | 13,000 | 13,000 | 15,000 | 38,000",0.26387316,0.023782559,0.096262741,0.105322763,0.08380521,0.053227633,0.024915062,0.028312571,0.080407701,0.032842582,0.006795017,0.003397508,0.006795017,0.073612684,0.027180068,,0.006795017,0.002265006,0.021517554,0.005662514,0.001132503,0.001132503,0.002265006,0.00792752,0.004530011,,0.002265006,,,0.002265006,0.024915062,,0.004530011,,,0.001132503,,,,0.001132503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744,10.8
9,그문화다방,와인,서울특별시 마포구 당인동 28-9 ,192889.1172,449249.751,,510,476,예약필수! 비프 웰링턴 | 엔초비 파스타 | 계절 파스타 | 채끝 스테이크 | 홈메이드 라자냐,"48,000 | 14,000 | 18,000 | 32,000 | 16,000",0.191834727,,0.038858829,0.090014757,0.107230694,0.001967536,0.015740285,0.009837678,0.114117068,0.004426955,0.019675357,0.029021151,0.023610428,0.002951303,0.00245942,0.047220856,0.02508608,0.001475652,0.015248401,0.006394491,,0.001475652,0.09050664,0.000983768,0.000491884,0.001475652,0.005410723,0.000983768,0.001967536,,,0.02262666,,,0.116084604,,0.001967536,,,0.004426955,0.001967536,0.000491884,0.001475652,0.000491884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.751,10.4
10,헤디치,"카페,디저트",서울특별시 마포구 당인동 30-3,192942.8177,449273.8565,,9,5,애플아이스티 | 크림모카,"5,000 | 6,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666,9.2
11,브라운 스터디,바(BAR),서울특별시 마포구 당인동 30-3 ,192942.8177,449273.8565,,40,16,발베니12 더블우드 | 글렌알라키12 | 스프링뱅크10 | 아드벡10 | 아란10,"18,000 | 20,000 | 25,000 | 18,000 | 18,000",0.014814815,,,0.066666667,0.155555556,,0.059259259,0.007407407,0.118518519,,0.007407407,,,,,0.140740741,,,,0.044444444,,,0.103703704,,,,,,0.088888889,,,0.007407407,,,0.162962963,,,,,0.022222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666,9.2
12,셀프쿡(self cook),한식,서울특별시 마포구 동교동 147-30 ,193387.7772,450815.7769,,2,0,바질크림치즈 베이글 | 라면 10종_판매순위 10위까지 | 떡볶이,"3,500 | 3,500 | 3,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.653,22.2
13,미음 레코드,카페,서울특별시 마포구 동교동 204-20,193053.0753,450760.7776,,5,8,미음커피 (Drip Coffee) | 레코드커피 (Drip Coffee) | Decaf Coffee | 플레인 휘낭시에 (Financier) | 무화과 휘낭시에,"6,500 | 7,000 | 7,000 | 2,800 | 3,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.617,22.2
14,사이카이,일식당,서울특별시 마포구 동교동 200-33,193087.8271,450649.855,,8,32,런치 스시 오마카세 | 디너 스시 오마카세,"50,000 | 90,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.477,19.9
15,미드,장소대여,서울특별시 마포구 동교동 113-95 ,193371.9428,450822.4787,,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.839,24.3
16,소굴,술집,서울특별시 마포구 동교동 169-25번지 ,193356.4756,450493.1028,,9,10,산미구엘 생맥주,"6,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,16.9
17,마콘도,바(BAR),서울특별시 마포구 동교동 164-22 ,193236.41,450439.3622,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.202,16.2
18,상희네,술집,서울특별시 마포구 동교동 149-3 ,193279.4325,450925.6823,,25,8,통골뱅이무침 | 먹태 | 가리비프랩 | 조개탕 프랩 | 국산닭발&주먹밥,"25,000 | 17,000 | 33,000 | 25,000 | 23,000",0.227722772,,0.00990099,0.03960396,0.128712871,0.01980198,0.03960396,0.099009901,0.00990099,0.01980198,0.00990099,0.03960396,,,,0.089108911,,,0.02970297,0.02970297,,,0.089108911,0.00990099,,,,,,,,0.069306931,,,0.03960396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.913,25.8
19,셀럽 피자(CELEB PIZZA),피자,서울특별시 마포구 동교동 204-58 ,193023.2267,450786.7417,,27,6,콤비네이션 피자 L | 불고기 피자 L | 하와이안 피자 L | 콘 핫도그 피자 L | 스파이시 쉬림프 피자 L,"25,000 | 24,000 | 24,000 | 33,000 | 33,000",0.338235294,0.073529412,0.147058824,0.044117647,0.117647059,0.058823529,0.132352941,0.029411765,0.014705882,,,,0.014705882,0.014705882,,,,,,0.014705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,23.4
20,서울소사이어티클럽(Seoul Society Club),바(BAR),서울특별시 마포구 동교동 155-30 1층 ,193279.3866,450637.2768,,37,36,"시가 치즈 플래터 | 칵테일(변동), 버드와이저 | 호가든","17,000 | 7,500 | 7,500",0.125,,,0.04375,0.125,,0.03125,0.01875,0.1,,0.0125,,,,,0.14375,0.00625,,0.00625,0.01875,,,0.1,,,,,,0.00625,,,0.0375,,,0.13125,,,,,0.05625,,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.453,19.8
21,봉황당,"맥주,호프",서울특별시 마포구 동교동 148-8번지 지1층 ,193315.6808,450807.6358,,46,111,PREMIER OB,"4,000",0.169491525,,,0.101694915,0.169491525,,0.033898305,0.050847458,0.084745763,,,,,,,0.016949153,,,0.101694915,,,,0.033898305,,,,,,0.050847458,,,0.033898305,,,0.101694915,,,,,0.050847458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,23.7
22,삼쓰리바(3 THREE BAR),요리주점,서울특별시 마포구 동교동 155-27 효성홍익인간오피스텔 ,193314.1248,450682.9876,,52,227,서던피치 | 피치피즈 | 화이트베어피치 | 치즈플레터(라지) | 모듬소세지&나쵸,"8,900 | 8,900 | 8,900 | 19,900 | 18,900",0.146118721,,,0.01369863,0.082191781,,0.02739726,0.068493151,0.123287671,,0.00456621,,0.00456621,,,0.086757991,,,0.00456621,0.00456621,,,0.109589041,0.00456621,0.00456621,,0.00913242,,0.03196347,,,0.082191781,,,0.173515982,,0.00913242,,,0.00456621,,,,,,,,,,,,,,,0.00456621,,,,,,,,,,,,,,,,,,,1.52,20.7
23,무국적식탁 홍대점,한식,서울특별시 마포구 동교동 170-10,193463.9573,450517.0957,,53,3,[치명적인 중독]강추. 중화 순두부비빔밥 | [굽기 요청가능]고추미소 삼겹구이 도시락 | [인기상위랭킹]을지로식 리얼 제육덮밥 | [한식 대표 김치찜] 돼지고기 묵은지찜 | 감칠 가리비빔밥도둑,"9,900 | 9,900 | 11,500 | 11,900 | 9,500",0.360824742,0.06185567,0.041237113,0.12371134,0.041237113,0.113402062,0.020618557,0.092783505,0.051546392,,,,,0.020618557,0.030927835,,,,0.010309278,0.010309278,,0.010309278,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010309278,,,,,,,,,,,,,,,,,,,,,,,,1.277,16.6
24,모토하(MOTOHA),이자카야,서울특별시 마포구 동교동 149-2 ,193271.5488,450931.8367,,56,24,미소 모츠나베 | 얼큰 모츠나베 | 아끼소바,"28,000 | 28,000 | 12,000",0.232758621,,0.004310345,0.034482759,0.11637931,0.021551724,0.043103448,0.081896552,0.081896552,0.00862069,0.047413793,0.00862069,0.00862069,,,0.051724138,,,0.004310345,0.00862069,,,0.146551724,,,,0.004310345,0.004310345,0.043103448,,,0.025862069,,,0.017241379,,,,,0.004310345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.923,25.9
25,미가해물탕?찜,"아귀찜,해물찜",서울특별시 마포구 동교동 204-34 외1필지 지1층일부,193054.7285,450713.9088,,59,15,해물탕찜(소),"45,000",0.296089385,0.016759777,0.17877095,0.05027933,0.072625698,0.083798883,0.039106145,0.067039106,,0.067039106,,0.005586592,0.005586592,0.005586592,,,,,0.016759777,0.005586592,0.083798883,0.005586592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,22.1
26,밀림,바(BAR),서울특별시 마포구 동교동 152-27 ,193230.0346,450823.8042,,94,52,칵테일(10 | 000~20 | 000원), |  | ,0.054347826,,,0.0625,0.10326087,,0.054347826,0.013586957,0.116847826,,0.013586957,,0.005434783,,,0.108695652,0.002717391,,0.002717391,0.029891304,,,0.097826087,,,,0.013586957,,0.078804348,,,0.043478261,,,0.163043478,,0.008152174,,,0.027173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.814,24.6
27,마하(Maja),바(BAR),서울특별시 마포구 동교동 176-7 1층 ,193550.8964,450551.5165,,96,128,스페인 병맥주 | 시그니처칵테일 | 수제맥주 | 하우스와인 | 호세꾸엘보 데낄라 샷,"9,000 | 12,000 | 9,000 | 7,900 | 8,000",0.072368421,,,0.039473684,0.105263158,,0.023026316,0.059210526,0.075657895,,0.019736842,0.003289474,0.003289474,,,0.105263158,,,0.003289474,0.016447368,,,0.101973684,,,0.003289474,,,0.121710526,,0.003289474,0.039473684,,,0.167763158,,0.006578947,,,0.023026316,,,,,,,,,,,0.006578947,,,,,,,,,,,,,,,,,,,,,,,1.364,18.1
28,비비큐홍대역점,"치킨,닭강정",서울특별시 마포구 동교동 147-4번지 1층 ,193409.7492,450762.4801,,100,26,,,0.519230769,0.038461538,0.096153846,0.057692308,0.134615385,0.019230769,0.076923077,0.019230769,,,,,,,,,0.038461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.585,21.3
29,명품축산정육식당 홍대점,정육식당,서울특별시 마포구 동교동 170-38 완빌딩 ,193488.0197,450520.0937,,112,21,꽃등심 1인분 150g | 갈비살 1인분 150g | 채끝등심 1인분 150g | 차돌박이 1인분 150g | 살치살 1인분 150g,"35,000 | 19,000 | 35,000 | 25,000 | 42,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.297,17.3
30,명품축산정육식당 홍대점,정육식당,서울특별시 마포구 동교동 170-38 완빌딩 ,193488.0197,450520.0937,,112,21,꽃등심 1인분 150g | 갈비살 1인분 150g | 채끝등심 1인분 150g | 차돌박이 1인분 150g | 살치살 1인분 150g,"35,000 | 19,000 | 35,000 | 25,000 | 42,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.217,16.1
31,매직큐브시즌2,룸카페,서울특별시 마포구 동교동 163-9번지 ,193098.9449,450307.1931,4.38,126,152,,,0.076923077,,,,0.102564103,,0.038461538,0.115384615,0.08974359,,,,,,,,,,,0.025641026,,,,0.012820513,,0.115384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025641026,,,,,,,,,,,,,,,,,,,,1.229,16.6
32,버글러커피(홍대),카페,서울특별시 마포구 동교동 204-50 ,192965.5439,450675.3641,,134,14,버글러커피 | 말차라떼 | 카페라떼,"6,000 | 6,500 | 5,000",0.001644737,,0.001644737,0.03125,0.090460526,,0.060855263,0.004934211,0.157894737,,0.023026316,,0.019736842,0.001644737,0.023026316,0.080592105,0.001644737,,0.001644737,0.004934211,,0.003289474,0.052631579,0.003289474,0.001644737,,0.060855263,0.036184211,,,0.004934211,,,,,,0.060855263,,,,0.065789474,,,0.200657895,,,0.003289474,,,,0.001644737,,,,,,,,,,,,,,,,,,,,,,,1.507,20.8
33,부산집(장어),"장어,먹장어요리",서울특별시 마포구 동교동 206-1,192889.1062,450481.0552,,135,107,"민물장어 | 바다장어 | 꼼장어(15,000~48,000원), 오징어","28,000 | 18,000 | 16,000",0.355670103,,0.18556701,0.108247423,0.134020619,0.015463918,0.046391753,0.036082474,0.010309278,0.020618557,,,,0.015463918,0.005154639,,0.010309278,,0.020618557,0.020618557,,,0.005154639,,,,,,,,,0.005154639,,,,0.005154639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.614,20.7
34,백해,이자카야,서울특별시 마포구 동교동 155-35번지 ,193280.5407,450670.9427,,136,108,모듬꼬치 5종 | 한우 뭉티기육회 | 백해 나가사키짬뽕 | 마파두부 | 명란통감자,"20,500 | 34,000 | 23,500 | 23,000 | 18,000",0.273480663,,0.005524862,0.08839779,0.168508287,,0.071823204,0.05801105,0.024861878,0.002762431,0.019337017,0.011049724,,,,0.011049724,,,,,,0.002762431,0.077348066,,0.002762431,,,,0.049723757,,,0.069060773,,,0.046961326,,,,,0.016574586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,20.3
35,무야호랜드,한식,서울특별시 마포구 동교동 164-19 1층 ,193214.001,450420.1445,,137,180,"무한리필 B코스 | 무한리필 A코스 | 생맥주&하이볼 무한리필 1인 | 컵라면(무료), 비빔냉면","31,900 | 29,900 | 9,900 | 4,900",0.232876712,,0.075342466,0.075342466,0.100456621,0.141552511,0.034246575,0.116438356,0.025114155,,0.00456621,0.043378995,,0.01826484,,0.00913242,,0.002283105,0.015981735,,0.01369863,,0.00456621,0.02283105,0.01826484,,0.002283105,,,0.006849315,,0.002283105,0.002283105,0.002283105,0.01826484,0.011415525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.173,15.8
36,멜브런(Mellbrun),"카페,디저트",서울특별시 마포구 동교동 185-1 ,193981.9855,450456.4391,,152,34,,,0.077452668,0.008605852,0.005163511,0.141135972,0.113597246,0.003442341,0.063683305,0.04302926,0.084337349,0.008605852,0.008605852,0.013769363,0.003442341,,,0.012048193,,0.003442341,0.00172117,0.008605852,,,0.010327022,0.005163511,0.003442341,,0.030981067,0.00172117,,,0.00172117,,,,0.00172117,,0.029259897,,,0.003442341,0.094664372,,,0.154905336,0.055077453,,,,,0.00172117,0.005163511,,,,,,,,,,,,,,,,,,,,,,,1.491,19.3
37,미공방,한식,서울특별시 마포구 동교동 161-7 ,192972.0175,450422.6231,,159,29,BBQ 김치 라면 | 강황밥 | 봉평 들기름 막국수 | 봉평 비빔 막국수 | 소고기 스테이크 정식,"7,900 | 2,000 | 7,900 | 8,900 | 16,900",0.216494845,0.020618557,0.110456554,0.086892489,0.141384389,0.072164948,0.081001473,0.050073638,0.008836524,0.013254786,,0.025036819,0.004418262,0.079528719,,,0.001472754,0.002945508,0.039764359,0.005891016,0.002945508,0.001472754,0.001472754,,0.002945508,,,,,0.004418262,,,0.002945508,,,0.022091311,0.001472754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.569,20.3
38,비어배트 홍대점,"맥주,호프",서울특별시 마포구 동교동 169-8 ,193344.761,450470.3344,,201,73,테라배트(720ml) | 켈리배트(720ml) | 칵테일 5종 | 페퍼로니 피자 | 고르곤졸라 피자,"6,900 | 6,900 | 9,900 | 21,300 | 18,900",0.208391608,,0.001398601,0.075524476,0.053146853,0.001398601,0.026573427,0.040559441,0.12027972,,,0.005594406,0.001398601,0.030769231,0.002797203,0.067132867,0.001398601,,0.041958042,0.00979021,,0.001398601,0.067132867,0.008391608,0.00979021,,0.001398601,0.001398601,0.006993007,,,0.12027972,,,0.088111888,,,,,0.005594406,,,,,,,,,,,,,,0.001398601,,,,,,,,,,,,,,,,,,,,1.2,16.1
39,생마차 홍대입구역점,이자카야,서울특별시 마포구 동교동 169-5 ,193386.2981,450485.0739,,209,88,??겉바속촉 테바나카 피라미드?? | ??육즙팡팡 치킨카츠?? | ??튀기지않고 구운 테바모토 튤립?? | ??쫄깃쫄깃 닭부채살 가라아게?? | ??단짝 친구 와사비치킨무??,"9,000 | 13,000 | 9,900 | 8,500 | 900",0.224175824,,0.002197802,0.057142857,0.050549451,0.002197802,0.024175824,0.257142857,0.026373626,0.002197802,0.002197802,0.013186813,,0.010989011,0.002197802,0.030769231,,0.002197802,0.010989011,0.008791209,,0.002197802,0.054945055,0.010989011,0.017582418,,,,0.01978022,,0.002197802,0.083516484,,,0.068131868,,,,,0.006593407,,,,,,,,,,,,,0.006593407,,,,,,,,,,,,,,,,,,,,,1.237,16.6
40,면사랑,중식당,서울특별시 마포구 동교동 165-8번지 B152호,193166.4301,450425.8528,,232,6,오징어제육볶음,"6,000",0.267295597,0.103773585,0.198113208,0.006289308,0.163522013,0.039308176,0.036163522,0.169811321,,0.001572327,,,,0.009433962,,,,,0.003144654,,0.001572327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.178,16.4
41,미야자키상점,일식당,서울특별시 마포구 동교동 118-18번지 ,193341.7224,450897.471,,237,213,런치 오야코동 | 디너 야키토리동 | 디너 야키토리5종 (1인기준),"14,000 | 16,000 | 21,000",0.340361446,0.021084337,0.108433735,0.114457831,0.147590361,0.018072289,0.042168675,0.009036145,0.072289157,,0.009036145,0.003012048,0.006024096,0.009036145,0.003012048,0.003012048,0.03313253,,0.006024096,0.027108434,,0.003012048,0.009036145,,,,,,0.006024096,,,0.003012048,,,0.003012048,,,,,,0.003012048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.828,24.6
42,섬소년 자연주의,"해물,생선요리",서울특별시 마포구 동교동 203-10,192828.5667,450618.9691,4.33,249,57,대방어회 | 대방어회(중) | 대방어회(소) | 굴찜 | 생대구매운탕 (소),"105,000 | 85,000 | 65,000 | 40,000 | 34,000",0.335463259,0.009584665,0.185303514,0.079872204,0.102236422,0.041533546,0.057507987,0.044728435,0.009584665,0.003194888,0.003194888,0.003194888,0.003194888,0.031948882,0.003194888,0.003194888,0.009584665,0.003194888,0.012779553,0.025559105,0.003194888,0.015974441,,,0.003194888,,0.003194888,,,0.003194888,0.003194888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.756,22.9
43,만리향,중식당,서울특별시 마포구 동교동 185-18,193967.235,450459.0194,,261,8,짜장면,"8,000",0.252234359,0.08142999,0.128103277,0.076464747,0.114200596,0.109235353,0.062562066,0.053624628,0.039721946,0.004965243,0.015888779,0.006951341,0.004965243,0.018867925,0.000993049,0.000993049,,,0.001986097,,0.000993049,,0.005958292,0.001986097,0.008937438,,,,,0.001986097,,0.000993049,,,,0.004965243,,,,,,,,,,,,,,,,,0.000993049,,,,,,,,,,,,,,,,,,,,,1.498,19.4
44,바다주막,요리주점,서울특별시 마포구 동교동 203-18 지하1층일부,192904.969,450539.8003,,269,100,숙성 대방어 한접시 | 오늘의 해산물 | 오늘의 숙성회 | 굴보쌈 한접시 | 매콤 곤이찜,"65,000 | 38,000 | 45,000 | 36,000 | 28,000",0.219808862,,0.06429192,0.06342311,0.087749783,0.017376195,0.050390964,0.018245004,0.099044309,,0.010425717,0.019113814,0.005212858,0.020851434,0.00086881,0.048653345,0.00086881,0.005212858,0.026064292,0.003475239,,,0.070373588,0.00086881,0.001737619,,0.00086881,,0.004344049,0.00086881,,0.078192876,,,0.078192876,,,,,0.003475239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.518,20.9
45,사케바신콘,일식당,서울특별시 마포구 동교동 147-48 ,193371.0612,450783.2277,,299,50,크리스마스 코스 2인 | 오늘의 제철 생선 사시미 | 고등어봉초밥(예약필수) | 프로슈토 어란 스파게티니 | 토리마파,"120,000 | 30,000 | 25,000 | 22,000 | 18,000",0.218532819,0.023938224,0.126640927,0.083397683,0.08030888,0.024710425,0.037065637,0.020849421,0.076447876,0.003088803,0.045559846,0.025482625,0.03011583,0.007722008,0.003088803,0.006949807,0.015444015,0.010810811,0.003861004,0.022393822,0.003088803,,0.033204633,,0.000772201,,0.001544402,0.001544402,0.018532819,,,0.008494208,,,0.049420849,0.001544402,0.003088803,0.000772201,0.007722008,0.003088803,0.000772201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.634,21.9
