,사업장명,업태구분명,지번주소,좌표정보(X),좌표정보(Y),네이버_별점,방문자리뷰수,블로그리뷰수,대표메뉴_메뉴,대표메뉴_가격,음식이 맛있어요_비율,혼밥하기 좋아요_비율,재료가 신선해요_비율,특별한 메뉴가 있어요_비율,친절해요_비율,양이 많아요_비율,매장이 청결해요_비율,가성비가 좋아요_비율,인테리어가 멋져요_비율,건강한 맛이에요_비율,아늑해요_비율,메뉴 구성이 알차요_비율,차분한 분위기예요_비율,매장이 넓어요_비율,뷰가 좋아요_비율,음악이 좋아요_비율,특별한 날 가기 좋아요_비율,비싼 만큼 가치있어요_비율,단체모임 하기 좋아요_비율,화장실이 깨끗해요_비율,반찬이 잘 나와요_비율,주차하기 편해요_비율,대화하기 좋아요_비율,컨셉이 독특해요_비율,음식이 빨리 나와요_비율,좌석이 편해요_비율,사진이 잘 나와요_비율,집중하기 좋아요_비율,혼술하기 좋아요_비율,잡내가 적어요_비율,야외공간이 멋져요_비율,기본 안주가 좋아요_비율,향신료가 강하지 않아요_비율,환기가 잘 돼요_비율,술이 다양해요_비율,고기 질이 좋아요_비율,음료가 맛있어요_비율,직접 잘 구워줘요_비율,현지 맛에 가까워요_비율,오래 머무르기 좋아요_비율,디저트가 맛있어요_비율,라이브공연이 훌륭해요_비율,코스요리가 알차요_비율,커피가 맛있어요_비율,빵이 맛있어요_비율,종류가 다양해요_비율,차가 맛있어요_비율,선물하기 좋아요_비율,주문제작을 잘해줘요_비율,포장이 깔끔해요_비율,반려동물과 가기 좋아요_비율,샐러드바가 잘 되어있어요_비율,아이와 가기 좋아요_비율,파티하기 좋아요_비율,룸이 잘 되어있어요_비율,깨끗해요_비율,조용히 쉬기 좋아요_비율,침구가 좋아요_비율,냉난방이 잘돼요_비율,화장실이 잘 되어있어요_비율,방음이 잘돼요_비율,즐길 거리가 많아요_비율,호캉스하기 좋아요_비율,근처에 갈 곳이 많아요_비율,벌레 걱정 없어요_비율,보안시설이 잘 되어있어요_비율,바비큐 해먹기 좋아요 _비율,온수가 잘 나와요_비율,어울려 놀기 좋아요_비율,공용시설 관리가 잘돼요_비율,전기 사용이 편해요_비율,취사시설이 잘 되어있어요_비율,마트 이용이 편해요_비율,도보거리_km,도보시간_분
789,MANDOO BAR,요리주점,서울특별시 마포구 서교동 405-16 정웅빌딩2층 ,192938.5505,449783.8924,,843,184,,,0.22651473,0.000277932,0.013062813,0.101445247,0.093107282,0.026125625,0.046692607,0.053362979,0.066981656,0.006948305,0.01278488,0.043079489,0.004724847,0.003613118,0.00250139,0.046136743,0.000555864,0.001111729,0.008615898,0.00889383,,,0.079210673,0.001667593,0.004724847,0.001667593,0.003891051,0.000277932,0.001389661,,0.000833797,0.085047248,,,0.047526404,,0.001945525,,,0.00250139,0.00250139,,0.000277932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.736,9.6
790,Monster Pizza,피자,서울특별시 마포구 서교동 363-1 ,193124.9714,449865.2472,,220,271,PIZZA SLICE CHEESE | PIZZA SLICE PEPPERONI | PIZZA SLICE SPICE GIRLS | PIZZA SLICE WHOLE+PACK | BOTTLED BEER ESTRELLA,"4,800 | 4,800 | 4,800 | 27,000 | 5,500",0.4,0.057777778,0.053333333,0.031111111,0.08,0.084444444,0.031111111,0.155555556,0.017777778,,,,,0.013333333,0.026666667,,0.013333333,,0.013333333,0.004444444,,,0.008888889,0.004444444,0.004444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.679,8.5
791,Motto,바(BAR),서울특별시 마포구 서교동 396-27번지 ,192626.3225,449645.0116,,110,89,맥주(변동),,0.068592058,,,0.054151625,0.072202166,,0.010830325,0.036101083,0.119133574,,0.003610108,,,,,0.220216606,,,0.014440433,0.010830325,,,0.061371841,0.003610108,,,,,0.101083032,,,0.028880866,,,0.133574007,,,,,0.061371841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.848,11.0
792,MUU한우다이닝 합정,소고기구이,서울특별시 마포구 서교동 400-18 ,192743.8387,449665.6881,,86,169,T-BON course(Best💓) | M-course (Best💓) | Classic course | Basic course | (Light) T-BON course,"149,000 | 99,000 | 89,000 | 69,000 | 129,000",0.17721519,,0.035443038,0.058227848,0.096202532,0.02278481,0.02278481,0.005063291,0.126582278,0.005063291,0.025316456,0.037974684,0.050632911,0.002531646,0.005063291,,0.040506329,0.007594937,0.005063291,,0.002531646,,,,,,,,,0.002531646,,,,,,0.189873418,,0.053164557,,,,,0.027848101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,10.2
793,NGO 84,베트남음식,서울특별시 마포구 서교동 345-26,193154.2418,450243.0789,,23,2,소고기 쌀국수 | 직화볼소고기 쌀국수 | 분보후에 | 분보후에 (고기만) | 불고기 계란 반미,"9,900 | 12,000 | 12,000 | 9,900 | 8,500",0.26744186,0.011627907,0.139534884,0.034883721,0.034883721,0.174418605,,0.046511628,0.023255814,0.034883721,0.011627907,,0.034883721,0.046511628,0.011627907,,,,0.034883721,,,,,,0.011627907,0.011627907,,,,,,,,,,,,,0.058139535,,,,,,,,,,,,,,0.011627907,,,,,,,,,,,,,,,,,,,,,1.204,16.3
794,Nookie,바(BAR),서울특별시 마포구 서교동 329-8,193680.6566,450409.8642,,0,0,칵테일 빅 3,"33,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.211,16.1
795,NUHOOD,카페,서울특별시 마포구 서교동 482-25 지더블유빌딩 ,192438.0775,450155.488,,93,82,에스프레소 | 아메리카노 | 카페라떼 | 바닐라 라떼 | 돌체라떼,"5,000 | 5,000 | 5,500 | 6,000 | 6,000",,,0.002932551,0.020527859,0.08797654,,0.026392962,0.002932551,0.126099707,0.002932551,0.038123167,0.002932551,0.038123167,0.002932551,0.008797654,0.023460411,,,,0.011730205,,,0.026392962,0.005865103,,0.008797654,0.041055718,0.149560117,,,,,,,,,0.076246334,,,0.008797654,0.096774194,,,0.190615836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.472,20.6
796,SOBEE,요리주점,서울특별시 마포구 서교동 408-7 ,192975.7221,449761.7788,,65,26,제주산 딱새우회 | 숙성연어와 육회무침 | 아롱사태 삼합 | 라구가지튀김 | 치킨난반,"38,000 | 32,000 | 27,000 | 21,000 | 23,000",0.205882353,,0.006535948,0.019607843,0.088235294,0.019607843,0.035947712,0.065359477,0.094771242,0.003267974,0.022875817,0.107843137,0.016339869,0.009803922,0.035947712,0.032679739,0.006535948,,0.003267974,0.016339869,,,0.091503268,0.006535948,,0.006535948,0.013071895,,0.006535948,,,0.003267974,,,0.052287582,,0.016339869,,,0.013071895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.701,9.1
797,T12,"맥주,호프",서울특별시 마포구 서교동 363-22번지 지하1.2층 ,193061.4483,449881.603,,212,180,맥주,"4,500",0.099009901,,,0.01980198,0.066831683,,0.012376238,0.071782178,0.155940594,,0.002475248,,,0.017326733,0.004950495,0.123762376,,0.002475248,0.01980198,0.002475248,,,0.074257426,,,0.004950495,0.004950495,,0.032178218,,,0.04950495,,,0.190594059,,0.002475248,,,0.042079208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.735,9.2
798,Victory Cafe,"카페,디저트",서울특별시 마포구 서교동 334-20 ,193490.0632,450314.3206,,3,1,오렌지 아메리카노 | 우롱 밀크티 | 딸기/레몬/자몽/포도 에이드 | 카페라떼,"6,000 | 6,500 | 6,500 | 5,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,13.6
799,ZigZagg,바(BAR),서울특별시 마포구 서교동 364-4 NS TOWER,193084.369,449952.9054,,13,9,메뉴(변동),,0.222222222,,,,0.037037037,,,0.148148148,,,,,,,,0.185185185,,,,,,,0.074074074,,,,,,0.037037037,,,,,,0.037037037,,0.074074074,,,0.037037037,,,,,,,,,,,,,,0.148148148,,,,,,,,,,,,,,,,,,,,0.778,10.7
800,가미우동,"우동,소바",서울특별시 마포구 서교동 346-31 1층 좌측 2호 ,193201.9814,450273.7664,,1967,1676,가께우동 | 와카메우동 | 츠키미우동 | 가마다마우동 | 붓가께우동,"6,500 | 7,000 | 7,000 | 8,000 | 7,000",0.334302326,0.110142119,0.074935401,0.084302326,0.110142119,0.057170543,0.034560724,0.137596899,0.012919897,0.001614987,0.006459948,0.004521964,0.002906977,0.006136951,0.00129199,,0.003552972,0.000322997,0.001937984,0.00129199,,0.000968992,0.000968992,0.000322997,0.006136951,,,,0.000322997,0.000322997,,,0.000645995,,,0.000322997,,,0.003875969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.059,14.0
